frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.28,-8.49,-2.32,-8.55,6.00,5.71,2.18,3.72,3.68,6.21
20.20,-2.19,-8.44,-2.21,-8.46,6.00,5.75,2.24,3.81,3.79,6.25
20.40,-2.09,-8.36,-2.10,-8.38,6.00,5.79,2.31,3.91,3.90,6.28
20.61,-2.00,-8.31,-1.99,-8.30,6.00,5.83,2.38,4.00,4.01,6.30
20.81,-1.90,-8.24,-1.89,-8.22,6.00,5.86,2.45,4.10,4.11,6.34
21.02,-1.81,-8.19,-1.78,-8.14,6.00,5.89,2.52,4.19,4.22,6.38
21.23,-1.71,-8.10,-1.68,-8.06,6.00,5.93,2.60,4.29,4.32,6.39
21.44,-1.62,-8.03,-1.59,-7.98,6.00,5.95,2.67,4.38,4.41,6.41
21.66,-1.52,-7.95,-1.49,-7.91,6.00,5.98,2.75,4.48,4.51,6.43
21.87,-1.43,-7.87,-1.40,-7.83,6.00,6.00,2.83,4.57,4.60,6.44
22.09,-1.33,-7.79,-1.31,-7.76,6.00,6.03,2.92,4.67,4.69,6.46
22.31,-1.22,-7.68,-1.22,-7.69,6.00,6.04,3.00,4.78,4.78,6.46
22.54,-1.12,-7.59,-1.14,-7.61,6.00,6.06,3.09,4.88,4.86,6.47
22.76,-1.02,-7.50,-1.05,-7.54,6.00,6.07,3.18,4.98,4.95,6.48
22.99,-0.91,-7.39,-0.98,-7.47,6.00,6.08,3.28,5.09,5.02,6.48
23.22,-0.86,-7.35,-0.90,-7.40,6.00,6.09,3.37,5.14,5.10,6.49
23.45,-0.80,-7.29,-0.83,-7.33,6.00,6.10,3.47,5.20,5.17,6.49
23.69,-0.75,-7.25,-0.75,-7.26,6.00,6.10,3.57,5.25,5.25,6.50
23.92,-0.70,-7.21,-0.68,-7.19,6.00,6.10,3.67,5.30,5.32,6.51
24.16,-0.64,-7.16,-0.60,-7.12,6.00,6.10,3.78,5.36,5.40,6.52
24.40,-0.57,-7.10,-0.53,-7.05,6.00,6.09,3.88,5.43,5.47,6.53
24.65,-0.51,-7.03,-0.47,-6.98,6.00,6.08,3.99,5.49,5.53,6.52
24.89,-0.45,-6.97,-0.41,-6.92,6.00,6.07,4.10,5.55,5.59,6.52
25.14,-0.36,-6.87,-0.34,-6.86,6.00,6.06,4.21,5.64,5.66,6.52
25.39,-0.25,-6.76,-0.26,-6.78,6.00,6.04,4.32,5.75,5.74,6.52
25.65,-0.15,-6.66,-0.18,-6.70,6.00,6.02,4.43,5.85,5.82,6.51
25.91,-0.04,-6.54,-0.09,-6.60,6.00,6.00,4.54,5.96,5.91,6.50
26.16,0.03,-6.48,-0.00,-6.51,6.00,5.98,4.66,6.03,6.00,6.51
26.43,0.07,-6.44,0.09,-6.42,6.00,5.95,4.77,6.07,6.09,6.51
26.69,0.12,-6.39,0.17,-6.33,6.00,5.92,4.88,6.12,6.17,6.51
26.96,0.16,-6.35,0.25,-6.25,6.00,5.89,4.99,6.16,6.25,6.51
27.23,0.28,-6.23,0.33,-6.17,5.99,5.86,5.10,6.27,6.32,6.50
27.50,0.42,-6.08,0.40,-6.10,5.97,5.82,5.20,6.39,6.38,6.50
27.77,0.56,-5.93,0.47,-6.02,5.95,5.79,5.31,6.51,6.42,6.49
28.05,0.67,-5.82,0.53,-5.96,5.91,5.75,5.41,6.58,6.44,6.49
28.33,0.67,-5.81,0.60,-5.89,5.87,5.71,5.50,6.54,6.46,6.48
28.62,0.68,-5.80,0.66,-5.83,5.82,5.66,5.59,6.50,6.47,6.48
28.90,0.68,-5.80,0.72,-5.76,5.76,5.62,5.68,6.44,6.48,6.48
29.19,0.72,-5.75,0.78,-5.70,5.70,5.57,5.76,6.42,6.48,6.47
29.48,0.79,-5.69,0.84,-5.63,5.63,5.53,5.83,6.42,6.47,6.48
29.78,0.86,-5.62,0.90,-5.56,5.56,5.48,5.90,6.42,6.47,6.47
30.08,0.93,-5.54,0.96,-5.50,5.50,5.43,5.96,6.43,6.46,6.47
30.38,1.00,-5.46,1.02,-5.43,5.43,5.38,6.01,6.43,6.46,6.46
30.68,1.07,-5.39,1.08,-5.37,5.37,5.33,6.05,6.44,6.45,6.46
30.99,1.14,-5.30,1.14,-5.31,5.31,5.27,6.08,6.45,6.45,6.44
31.30,1.21,-5.23,1.20,-5.24,5.24,5.22,6.11,6.45,6.44,6.44
31.61,1.28,-5.16,1.26,-5.17,5.17,5.17,6.12,6.45,6.43,6.44
31.93,1.35,-5.07,1.33,-5.10,5.10,5.11,6.13,6.45,6.43,6.42
32.24,1.42,-4.99,1.39,-5.03,5.03,5.06,6.13,6.45,6.42,6.41
32.57,1.49,-4.92,1.45,-4.97,4.97,5.00,6.12,6.46,6.41,6.41
32.89,1.56,-4.84,1.50,-4.90,4.90,4.94,6.10,6.46,6.41,6.40
33.22,1.58,-4.82,1.56,-4.84,4.84,4.89,6.08,6.42,6.40,6.40
33.55,1.59,-4.80,1.62,-4.78,4.78,4.83,6.04,6.37,6.39,6.39
33.89,1.60,-4.79,1.67,-4.72,4.72,4.77,6.01,6.32,6.39,6.39
34.23,1.65,-4.74,1.72,-4.66,4.66,4.71,5.96,6.31,6.38,6.39
34.57,1.73,-4.64,1.77,-4.61,4.61,4.65,5.91,6.34,6.37,6.37
34.92,1.80,-4.57,1.82,-4.55,4.55,4.60,5.86,6.35,6.37,6.37
35.27,1.88,-4.48,1.87,-4.49,4.49,4.54,5.80,6.37,6.36,6.36
35.62,1.96,-4.39,1.92,-4.43,4.43,4.48,5.74,6.39,6.35,6.35
35.97,2.03,-4.31,1.98,-4.37,4.37,4.42,5.67,6.40,6.34,6.34
36.33,2.04,-4.30,2.03,-4.31,4.31,4.37,5.61,6.35,6.33,6.34
36.70,2.05,-4.28,2.07,-4.25,4.25,4.31,5.54,6.30,6.33,6.33
37.06,2.06,-4.25,2.12,-4.19,4.19,4.26,5.48,6.25,6.32,6.31
37.43,2.15,-4.16,2.16,-4.14,4.14,4.20,5.41,6.29,6.31,6.31
37.81,2.24,-4.06,2.20,-4.10,4.10,4.14,5.34,6.34,6.30,6.30
38.19,2.28,-4.00,2.23,-4.06,4.06,4.09,5.27,6.34,6.29,6.28
38.57,2.28,-4.00,2.25,-4.03,4.03,4.04,5.21,6.31,6.28,6.28
38.95,2.28,-3.99,2.26,-4.01,4.01,3.98,5.14,6.29,6.27,6.27
39.34,2.28,-3.97,2.27,-3.99,3.99,3.93,5.08,6.27,6.26,6.25
39.74,2.28,-3.95,2.28,-3.97,3.97,3.88,5.02,6.25,6.25,6.23
40.14,2.28,-3.96,2.28,-3.96,3.96,3.83,4.97,6.24,6.24,6.24
40.54,2.28,-3.95,2.28,-3.95,3.95,3.78,4.91,6.23,6.23,6.23
40.94,2.28,-3.94,2.28,-3.93,3.93,3.73,4.86,6.21,6.21,6.22
41.35,2.28,-3.92,2.28,-3.91,3.91,3.68,4.81,6.19,6.19,6.20
41.76,2.28,-3.90,2.28,-3.89,3.89,3.63,4.77,6.17,6.17,6.18
42.18,2.28,-3.88,2.28,-3.87,3.87,3.58,4.73,6.15,6.15,6.16
42.60,2.28,-3.85,2.29,-3.83,3.83,3.54,4.69,6.11,6.12,6.13
43.03,2.28,-3.83,2.31,-3.78,3.78,3.49,4.65,6.06,6.09,6.11
43.46,2.28,-3.80,2.34,-3.72,3.72,3.45,4.62,6.00,6.06,6.08
43.90,2.28,-3.75,2.37,-3.66,3.66,3.41,4.59,5.94,6.03,6.03
44.33,2.36,-3.63,2.41,-3.59,3.59,3.37,4.57,5.95,6.00,5.99
44.78,2.46,-3.49,2.44,-3.52,3.52,3.33,4.55,5.98,5.97,5.95
45.23,2.51,-3.41,2.49,-3.45,3.45,3.29,4.53,5.96,5.94,5.92
45.68,2.51,-3.38,2.53,-3.38,3.38,3.25,4.52,5.89,5.91,5.89
46.13,2.54,-3.32,2.57,-3.31,3.31,3.22,4.51,5.85,5.88,5.86
46.60,2.65,-3.20,2.61,-3.24,3.24,3.19,4.50,5.89,5.85,5.85
47.06,2.74,-3.08,2.65,-3.19,3.19,3.16,4.50,5.93,5.83,5.82
47.53,2.74,-3.07,2.68,-3.14,3.14,3.13,4.50,5.88,5.82,5.81
48.01,2.74,-3.06,2.71,-3.09,3.09,3.10,4.50,5.83,5.80,5.80
48.49,2.74,-3.05,2.73,-3.06,3.06,3.07,4.51,5.80,5.79,5.79
48.97,2.74,-3.03,2.74,-3.03,3.03,3.05,4.52,5.77,5.78,5.77
49.46,2.74,-3.01,2.75,-3.02,3.02,3.03,4.53,5.76,5.77,5.75
49.96,2.74,-3.00,2.76,-3.00,3.00,3.01,4.54,5.74,5.76,5.74
50.46,2.74,-3.00,2.78,-2.97,2.97,2.99,4.56,5.71,5.75,5.74
50.96,2.74,-3.01,2.79,-2.94,2.94,2.98,4.57,5.68,5.73,5.75
51.47,2.74,-2.99,2.78,-2.93,2.93,2.96,4.59,5.67,5.71,5.73
51.99,2.74,-2.96,2.77,-2.92,2.92,2.96,4.61,5.66,5.69,5.70
52.51,2.74,-2.94,2.75,-2.91,2.91,2.95,4.63,5.65,5.66,5.68
53.03,2.74,-2.91,2.74,-2.89,2.89,2.95,4.66,5.63,5.63,5.65
53.56,2.74,-2.87,2.72,-2.87,2.87,2.95,4.68,5.61,5.59,5.61
54.10,2.74,-2.81,2.69,-2.85,2.85,2.95,4.70,5.59,5.55,5.55
54.64,2.74,-2.76,2.66,-2.84,2.84,2.96,4.72,5.58,5.50,5.50
55.18,2.70,-2.74,2.61,-2.83,2.83,2.98,4.74,5.53,5.44,5.44
55.74,2.57,-2.81,2.56,-2.83,2.83,2.99,4.75,5.40,5.38,5.38
56.29,2.44,-2.88,2.50,-2.82,2.82,3.02,4.77,5.26,5.32,5.32
56.86,2.31,-2.94,2.44,-2.81,2.81,3.04,4.78,5.12,5.25,5.25
57.42,2.28,-2.89,2.36,-2.82,2.82,3.08,4.79,5.10,5.18,5.17
58.00,2.28,-2.82,2.27,-2.84,2.84,3.12,4.79,5.12,5.11,5.10
58.58,2.15,-2.88,2.16,-2.88,2.88,3.16,4.79,5.03,5.04,5.03
59.16,2.01,-2.96,2.04,-2.93,2.93,3.21,4.79,4.94,4.96,4.97
59.76,1.88,-3.02,1.90,-2.98,2.98,3.27,4.78,4.87,4.89,4.90
60.35,1.75,-3.06,1.76,-3.06,3.06,3.34,4.76,4.81,4.82,4.81
60.96,1.61,-3.14,1.59,-3.16,3.16,3.42,4.74,4.77,4.74,4.75
61.57,1.47,-3.19,1.38,-3.29,3.29,3.50,4.71,4.76,4.67,4.66
62.18,1.27,-3.32,1.15,-3.45,3.45,3.59,4.68,4.72,4.60,4.59
62.80,0.93,-3.60,0.89,-3.64,3.64,3.70,4.64,4.57,4.53,4.53
63.43,0.62,-3.84,0.60,-3.87,3.87,3.81,4.59,4.49,4.47,4.46
64.07,0.33,-4.07,0.27,-4.13,4.13,3.94,4.54,4.47,4.40,4.40
64.71,0.06,-4.28,-0.08,-4.42,4.42,4.08,4.48,4.49,4.34,4.34
65.35,-0.29,-4.57,-0.45,-4.73,4.73,4.22,4.42,4.44,4.28,4.28
66.01,-0.69,-4.91,-0.84,-5.07,5.01,4.38,4.35,4.33,4.18,4.22
66.67,-1.21,-5.38,-1.24,-5.42,5.26,4.55,4.27,4.05,4.02,4.17
67.33,-1.72,-5.85,-1.66,-5.78,5.47,4.73,4.19,3.75,3.82,4.12
68.01,-2.20,-6.28,-2.07,-6.14,5.65,4.92,4.10,3.45,3.58,4.08
68.69,-2.44,-6.47,-2.46,-6.49,5.79,5.11,4.01,3.36,3.33,4.03
69.37,-2.76,-6.74,-2.83,-6.81,5.90,5.31,3.92,3.14,3.07,3.98
70.07,-3.14,-7.07,-3.15,-7.09,5.97,5.51,3.82,2.83,2.81,3.93
70.77,-3.47,-7.37,-3.43,-7.32,6.00,5.70,3.72,2.53,2.57,3.90
71.48,-3.72,-7.57,-3.64,-7.48,6.00,5.88,3.61,2.28,2.36,3.85
72.19,-3.92,-7.72,-3.78,-7.58,6.00,6.04,3.50,2.08,2.22,3.80
72.91,-4.08,-7.83,-3.85,-7.60,6.00,6.18,3.39,1.92,2.15,3.75
73.64,-4.10,-7.80,-3.85,-7.54,6.00,6.28,3.28,1.90,2.15,3.70
74.38,-4.04,-7.70,-3.77,-7.42,6.00,6.35,3.17,1.96,2.23,3.66
75.12,-3.88,-7.48,-3.64,-7.24,6.00,6.37,3.05,2.12,2.36,3.60
75.87,-3.60,-7.15,-3.47,-7.02,6.00,6.34,2.94,2.40,2.53,3.55
76.63,-3.28,-6.78,-3.25,-6.75,5.95,6.26,2.82,2.67,2.70,3.50
77.40,-2.90,-6.36,-2.98,-6.43,5.84,6.13,2.70,2.94,2.86,3.45
78.17,-2.49,-5.89,-2.68,-6.09,5.68,5.97,2.59,3.19,3.00,3.40
78.95,-2.16,-5.53,-2.37,-5.74,5.45,5.76,2.47,3.30,3.08,3.37
79.74,-1.87,-5.20,-2.05,-5.38,5.19,5.53,2.35,3.33,3.14,3.33
80.54,-1.60,-4.89,-1.73,-5.02,4.92,5.28,2.24,3.32,3.19,3.29
81.35,-1.34,-4.59,-1.41,-4.67,4.63,5.01,2.12,3.29,3.23,3.25
82.16,-1.08,-4.30,-1.11,-4.33,4.33,4.73,2.01,3.25,3.23,3.22
82.98,-0.82,-4.02,-0.83,-4.03,4.03,4.45,1.89,3.21,3.20,3.20
83.81,-0.55,-3.72,-0.57,-3.75,3.75,4.17,1.78,3.20,3.17,3.17
84.65,-0.32,-3.46,-0.34,-3.49,3.49,3.90,1.66,3.17,3.15,3.14
85.50,-0.17,-3.30,-0.13,-3.26,3.26,3.63,1.55,3.09,3.13,3.13
86.35,0.01,-3.09,0.07,-3.03,3.03,3.38,1.44,3.04,3.10,3.10
87.22,0.26,-2.82,0.27,-2.81,2.81,3.13,1.33,3.07,3.08,3.08
88.09,0.52,-2.54,0.46,-2.60,2.60,2.90,1.22,3.12,3.06,3.05
88.97,0.67,-2.38,0.64,-2.39,2.39,2.67,1.11,3.06,3.04,3.05
89.86,0.84,-2.18,0.82,-2.20,2.20,2.46,1.00,3.04,3.01,3.02
90.76,0.92,-2.07,0.98,-2.00,2.00,2.25,0.89,2.92,2.99,2.99
91.66,1.07,-1.90,1.14,-1.82,1.82,2.06,0.79,2.89,2.96,2.97
92.58,1.22,-1.70,1.27,-1.65,1.65,1.87,0.68,2.87,2.92,2.92
93.51,1.42,-1.48,1.40,-1.49,1.49,1.70,0.58,2.91,2.89,2.90
94.44,1.58,-1.28,1.52,-1.33,1.33,1.53,0.47,2.91,2.85,2.86
95.39,1.69,-1.13,1.64,-1.17,1.17,1.37,0.37,2.86,2.81,2.82
96.34,1.82,-0.94,1.74,-1.03,1.03,1.22,0.27,2.85,2.77,2.76
97.30,1.82,-0.90,1.83,-0.89,0.89,1.07,0.16,2.71,2.72,2.72
98.28,1.87,-0.80,1.91,-0.76,0.76,0.93,0.06,2.63,2.67,2.67
99.26,2.02,-0.59,1.99,-0.63,0.63,0.80,-0.04,2.65,2.62,2.61
100.25,2.05,-0.51,2.05,-0.51,0.51,0.68,-0.13,2.56,2.56,2.56
101.25,2.05,-0.45,2.11,-0.39,0.39,0.55,-0.23,2.44,2.50,2.50
102.27,2.08,-0.36,2.16,-0.28,0.28,0.44,-0.33,2.36,2.43,2.44
103.29,2.20,-0.16,2.19,-0.17,0.17,0.32,-0.42,2.37,2.36,2.36
104.32,2.28,-0.02,2.22,-0.06,0.06,0.21,-0.51,2.34,2.29,2.30
105.37,2.28,0.05,2.25,0.04,-0.04,0.11,-0.60,2.24,2.21,2.23
106.42,2.28,0.13,2.27,0.15,-0.15,0.00,-0.69,2.13,2.13,2.15
107.48,2.28,0.23,2.29,0.24,-0.24,-0.09,-0.77,2.04,2.04,2.05
108.56,2.28,0.33,2.29,0.34,-0.34,-0.19,-0.86,1.94,1.95,1.95
109.64,2.28,0.42,2.29,0.43,-0.43,-0.28,-0.94,1.85,1.86,1.86
110.74,2.28,0.52,2.27,0.51,-0.51,-0.38,-1.02,1.77,1.76,1.76
111.85,2.28,0.61,2.26,0.60,-0.60,-0.47,-1.09,1.68,1.66,1.67
112.97,2.28,0.72,2.24,0.68,-0.68,-0.55,-1.16,1.60,1.56,1.56
114.10,2.28,0.81,2.21,0.74,-0.74,-0.64,-1.23,1.54,1.47,1.47
115.24,2.25,0.88,2.17,0.80,-0.80,-0.72,-1.29,1.45,1.37,1.37
116.39,2.12,0.85,2.14,0.86,-0.86,-0.80,-1.35,1.26,1.28,1.27
117.55,2.05,0.87,2.12,0.92,-0.92,-0.88,-1.40,1.13,1.20,1.18
118.73,2.05,0.96,2.10,0.99,-0.99,-0.96,-1.45,1.06,1.11,1.09
119.92,2.05,1.03,2.09,1.06,-1.06,-1.03,-1.50,0.99,1.03,1.02
121.12,2.05,1.11,2.08,1.12,-1.12,-1.11,-1.54,0.93,0.96,0.94
122.33,2.05,1.18,2.08,1.19,-1.19,-1.18,-1.57,0.86,0.89,0.87
123.55,2.05,1.22,2.09,1.27,-1.27,-1.25,-1.60,0.78,0.82,0.83
124.79,2.05,1.29,2.10,1.34,-1.34,-1.32,-1.62,0.71,0.76,0.76
126.03,2.05,1.34,2.12,1.42,-1.42,-1.39,-1.64,0.64,0.70,0.71
127.29,2.12,1.47,2.14,1.50,-1.50,-1.46,-1.65,0.62,0.64,0.65
128.57,2.23,1.64,2.17,1.58,-1.58,-1.52,-1.66,0.65,0.59,0.59
129.85,2.28,1.74,2.20,1.66,-1.66,-1.58,-1.66,0.62,0.53,0.54
131.15,2.28,1.80,2.22,1.74,-1.74,-1.64,-1.66,0.54,0.48,0.48
132.46,2.28,1.86,2.24,1.82,-1.82,-1.70,-1.66,0.46,0.42,0.42
133.79,2.28,1.91,2.27,1.90,-1.90,-1.76,-1.64,0.38,0.37,0.37
